YEAR,MONTH,DAY,DAY_OF_WEEK,AIRLINE,FLIGHT_NUMBER,TAIL_NUMBER,ORIGIN_AIRPORT,DESTINATION_AIRPORT,SCHEDULED_DEPARTURE,DEPARTURE_TIME,TAXI_OUT,ELAPSED_TIME,AIR_TIME,WHEELS_ON,SCHEDULED_ARRIVAL,DIVERTED,CANCELLED,CANCELLATION_REASON,AIR_SYSTEM_DELAY,SECURITY_DELAY,AIRLINE_DELAY,LATE_AIRCRAFT_DELAY,WEATHER_DELAY
2015,1,1,4,AS,98,N407AS,ANC,SEA,0005,2354,21,194,169,0404,0430,0,0,,,,,,
2015,1,1,4,AA,2336,N3KUAA,LAX,PBI,0010,0002,12,279,263,0737,0750,0,0,,,,,,
2015,1,1,4,US,840,N171US,SFO,CLT,0020,0018,16,293,266,0800,0806,0,0,,,,,,
2015,1,1,4,AA,258,N3HYAA,LAX,MIA,0020,0015,15,281,258,0748,0805,0,0,,,,,,
2015,1,1,4,AS,135,N527AS,SEA,ANC,0025,0024,11,215,199,0254,0320,0,0,,,,,,
2015,1,1,4,DL,806,N3730B,SFO,MSP,0025,0020,18,230,206,0604,0602,0,0,,,,,,
2015,1,1,4,NK,612,N635NK,LAS,MSP,0025,0019,11,170,154,0504,0526,0,0,,,,,,
2015,1,1,4,US,2013,N584UW,LAX,CLT,0030,0044,13,249,228,0745,0803,0,0,,,,,,
2015,1,1,4,AA,1112,N3LAAA,SFO,DFW,0030,0019,17,193,173,0529,0545,0,0,,,,,,
2015,1,1,4,DL,1173,N826DN,LAS,ATL,0030,0033,12,203,186,0651,0711,0,0,,,,,,
2015,1,1,4,DL,2336,N958DN,DEN,ATL,0030,0024,12,149,133,0449,0523,0,0,,,,,,
2015,1,1,4,AA,1674,N853AA,LAS,MIA,0035,0027,21,266,238,0746,0803,0,0,,,,,,
2015,1,1,4,DL,1434,N547US,LAX,MSP,0035,0035,18,210,188,0601,0609,0,0,,,,,,
2015,1,1,4,DL,2324,N3751B,SLC,ATL,0040,0034,18,199,176,0548,0615,0,0,,,,,,
2015,1,1,4,DL,2440,N651DL,SEA,MSP,0040,0039,28,198,166,0553,0549,0,0,,,,,,
2015,1,1,4,AS,108,N309AS,ANC,SEA,0045,0041,17,194,173,0451,0509,0,0,,,,,,
2015,1,1,4,DL,1560,N3743H,ANC,SEA,0045,0031,25,200,171,0447,0515,0,0,,,,,,
2015,1,1,4,UA,1197,N78448,SFO,IAH,0048,0042,11,217,199,0612,0626,0,0,,,,,,
2015,1,1,4,AS,122,N413AS,ANC,PDX,0050,0046,11,201,187,0504,0525,0,0,,,,,,
2015,1,1,4,DL,1670,N806DN,PDX,MSP,0050,0045,9,186,171,0545,0603,0,0,,,,,,
2015,1,1,4,NK,520,N525NK,LAS,MCI,0055,0120,11,143,128,0539,0537,0,0,,,,,,
2015,1,1,4,AA,371,N3GXAA,SEA,MIA,0100,0052,30,347,311,0933,0938,0,0,,,,,,
2015,1,1,4,NK,214,N632NK,LAS,DFW,0103,0102,13,147,128,0523,0530,0,0,,,,,,
2015,1,1,4,AA,115,N3CTAA,LAX,MIA,0105,0103,14,276,255,0832,0851,0,0,,,,,,
2015,1,1,4,DL,1450,N671DN,LAS,MSP,0105,0102,11,163,150,0543,0608,0,0,,,,,,
2015,1,1,4,UA,1545,N76517,LAX,IAH,0115,0112,11,175,156,0559,0618,0,0,,,,,,
2015,1,1,4,AS,130,N457AS,FAI,SEA,0115,0107,25,218,186,0538,0548,0,0,,,,,,
2015,1,1,4,NK,597,N528NK,MSP,FLL,0115,0127,14,220,166,0527,0542,0,0,,25,0,0,0,0
2015,1,1,4,US,413,N571UW,LAS,CLT,0120,0110,12,224,205,0747,0825,0,0,,,,,,
2015,1,1,4,AA,2392,N3HRAA,DEN,MIA,0120,0141,12,208,188,0701,0707,0,0,,,,,,
2015,1,1,4,NK,168,N629NK,PHX,ORD,0125,0237,9,175,156,0622,0549,0,0,,43,0,0,0,0
2015,1,1,4,AA,2211,N3CGAA,PHX,MIA,0127,0116,10,234,217,0703,0726,0,0,,,,,,
2015,1,1,4,AS,136,N431AS,ANC,SEA,0135,,,,,,0600,0,1,A,,,,,
2015,1,1,4,DL,95,N320US,SLC,ATL,0140,0134,43,231,182,0719,0715,0,0,,,,,,
2015,1,1,4,NK,298,N514NK,LAS,IAH,0144,0140,10,170,148,0618,0634,0,0,,,,,,
2015,1,1,4,HA,17,N389HA,LAS,HNL,0145,0145,16,385,361,0602,0555,0,0,,0,0,15,0,0
