YEAR,MONTH,DAY,DAY_OF_WEEK,AIRLINE,FLIGHT_NUMBER,TAIL_NUMBER,ORIGIN_AIRPORT,DESTINATION_AIRPORT,SCHEDULED_DEPARTURE,DEPARTURE_TIME,SCHEDULED_TIME,WHEELS_ON,ARRIVAL_TIME,CANCELLED,CANCELLATION_REASON
2015,1,1,4,AS,98,N407AS,ANC,SEA,0005,2354,205,0404,0408,0,
2015,1,1,4,AA,2336,N3KUAA,LAX,PBI,0010,0002,280,0737,0741,0,
2015,1,1,4,US,840,N171US,SFO,CLT,0020,0018,286,0800,0811,0,
2015,1,1,4,AA,258,N3HYAA,LAX,MIA,0020,0015,285,0748,0756,0,
2015,1,1,4,AS,135,N527AS,SEA,ANC,0025,0024,235,0254,0259,0,
2015,1,1,4,DL,806,N3730B,SFO,MSP,0025,0020,217,0604,0610,0,
2015,1,1,4,NK,612,N635NK,LAS,MSP,0025,0019,181,0504,0509,0,
2015,1,1,4,US,2013,N584UW,LAX,CLT,0030,0044,273,0745,0753,0,
2015,1,1,4,AA,1112,N3LAAA,SFO,DFW,0030,0019,195,0529,0532,0,
2015,1,1,4,DL,1173,N826DN,LAS,ATL,0030,0033,221,0651,0656,0,
2015,1,1,4,DL,2336,N958DN,DEN,ATL,0030,0024,173,0449,0453,0,
2015,1,1,4,AA,1674,N853AA,LAS,MIA,0035,0027,268,0746,0753,0,
2015,1,1,4,DL,1434,N547US,LAX,MSP,0035,0035,214,0601,0605,0,
2015,1,1,4,DL,2324,N3751B,SLC,ATL,0040,0034,215,0548,0553,0,
2015,1,1,4,DL,2440,N651DL,SEA,MSP,0040,0039,189,0553,0557,0,
2015,1,1,4,AS,108,N309AS,ANC,SEA,0045,0041,204,0451,0455,0,
2015,1,1,4,DL,1560,N3743H,ANC,SEA,0045,0031,210,0447,0451,0,
2015,1,1,4,UA,1197,N78448,SFO,IAH,0048,0042,218,0612,0619,0,
2015,1,1,4,AS,122,N413AS,ANC,PDX,0050,0046,215,0504,0507,0,
2015,1,1,4,DL,1670,N806DN,PDX,MSP,0050,0045,193,0545,0551,0,
2015,1,1,4,NK,520,N525NK,LAS,MCI,0055,0120,162,0539,0543,0,
2015,1,1,4,AA,371,N3GXAA,SEA,MIA,0100,0052,338,0933,0939,0,
2015,1,1,4,NK,214,N632NK,LAS,DFW,0103,0102,147,0523,0529,0,
2015,1,1,4,AA,115,N3CTAA,LAX,MIA,0105,0103,286,0832,0839,0,
2015,1,1,4,DL,1450,N671DN,LAS,MSP,0105,0102,183,0543,0545,0,
2015,1,1,4,UA,1545,N76517,LAX,IAH,0115,0112,183,0559,0607,0,
2015,1,1,4,AS,130,N457AS,FAI,SEA,0115,0107,213,0538,0545,0,
2015,1,1,4,NK,597,N528NK,MSP,FLL,0115,0127,207,0527,0607,0,
2015,1,1,4,US,413,N571UW,LAS,CLT,0120,0110,245,0747,0754,0,
2015,1,1,4,AA,2392,N3HRAA,DEN,MIA,0120,0141,227,0701,0709,0,
2015,1,1,4,NK,168,N629NK,PHX,ORD,0125,0237,204,0622,0632,0,
2015,1,1,4,AA,2211,N3CGAA,PHX,MIA,0127,0116,239,0703,0710,0,
2015,1,1,4,AS,136,N431AS,ANC,SEA,0135,,205,,,1,A
2015,1,1,4,DL,95,N320US,SLC,ATL,0140,0134,215,0719,0725,0,
2015,1,1,4,NK,298,N514NK,LAS,IAH,0144,0140,170,0618,0630,0,
2015,1,1,4,HA,17,N389HA,LAS,HNL,0145,0145,370,0602,0610,0,
2015,1,1,4,US,617,N804AW,ANC,PHX,0152,0143,323,0902,0905,0,
2015,1,1,4,UA,1528,N76519,SJU,EWR,0154,0157,255,0449,0458,0,
2015,1,1,4,AS,134,N464AS,ANC,SEA,0155,0140,218,0547,0558,0,
2015,1,1,4,B6,304,N607JB,SJU,JFK,0155,0153,235,0456,0501,0,
2015,1,1,4,NK,451,N633NK,PBG,FLL,0155,0139,208,0443,0450,0,
2015,1,1,4,NK,972,N606NK,PHX,DFW,0159,0158,123,0452,0503,0,
2015,1,1,4,AA,2459,N3BDAA,PHX,DFW,0200,,120,,,1,B
2015,1,1,4,AS,144,N514AS,ANC,PDX,0200,0150,210,0616,0619,0,
2015,1,1,4,NK,647,N630NK,IAG,FLL,0200,0155,184,0445,0453,0,
2015,1,1,4,B6,1990,N597JB,SJU,EWR,0206,0152,246,0510,0516,0,
